# schizophrenia 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0005090) の関連遺伝子 500 件と、
# 承認薬の標的 39 件を必ず含む（重複を除いて 504 件）。
# 残り 4496 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
C12orf43	chromosome 12 open reading frame 43	
C13orf46	chromosome 13 open reading frame 46	Uncharacterized protein C13orf46
C16orf82	chromosome 16 open reading frame 82	Protein TNT
C17orf107	chromosome 17 open reading frame 107	Uncharacterized protein C17orf107
C18orf63	chromosome 18 open reading frame 63	Uncharacterized protein C18orf63
C19orf18	chromosome 19 open reading frame 18	Uncharacterized protein C19orf18
C19orf25	chromosome 19 open reading frame 25	UPF0449 protein C19orf25
C19orf38	chromosome 19 open reading frame 38	
C19orf53	chromosome 19 open reading frame 53	Leydig cell tumor 10 kDa protein homolog
C1GALT1C1L	C1GALT1 specific chaperone 1 like	C1GALT1-specific chaperone 1-like protein
C1QB	complement C1q B chain	Complement C1q subcomponent subunit B
C1QL1	complement C1q like 1	C1q-related factor
C1QTNF2	C1q and TNF related 2	Complement C1q tumor necrosis factor-related protein 2
C1orf116	chromosome 1 open reading frame 116	
C1orf146	chromosome 1 open reading frame 146	
C1orf167	chromosome 1 open reading frame 167	Uncharacterized protein C1orf167
C1orf232	chromosome 1 open reading frame 230	Uncharacterized protein C1orf232
C1orf52	chromosome 1 open reading frame 52	UPF0690 protein C1orf52
C1orf53	chromosome 1 open reading frame 53	Uncharacterized protein C1orf53
C1orf56	chromosome 1 open reading frame 56	
C20orf96	chromosome 20 open reading frame 96	Uncharacterized protein C20orf96
C22orf15	chromosome 22 open reading frame 15	Uncharacterized protein C22orf15
C22orf23	chromosome 22 open reading frame 23	UPF0193 protein EVG1
C22orf31	chromosome 22 open reading frame 31	Uncharacterized protein C22orf31
C2CD2	C2 calcium dependent domain containing 2	C2 domain-containing protein 2
C2CD4C	C2 calcium dependent domain containing 4C	C2 calcium-dependent domain-containing protein 4C
C3	complement C3	Complement C3
C3orf49	chromosome 3 open reading frame 49	Putative uncharacterized protein C3orf49
C4B	complement C4B (Chido/Rodgers blood group)	
C4B_2	complement component 4B (Chido/Rodgers blood group), copy 2	
C4orf17	chromosome 4 open reading frame 17	Uncharacterized protein C4orf17
C4orf36	chromosome 4 open reading frame 36	Uncharacterized protein C4orf36
C4orf51	chromosome 4 open reading frame 51	Uncharacterized protein C4orf51
C4orf54	chromosome 4 open reading frame 54	Uncharacterized protein C4orf54
C5orf34	chromosome 5 open reading frame 34	Uncharacterized protein C5orf34
C6	complement C6	Complement component C6
C6orf132	chromosome 6 open reading frame 132	Uncharacterized protein C6orf132
C6orf141	chromosome 6 open reading frame 141	Uncharacterized protein C6orf141
C6orf15	chromosome 6 open reading frame 15	Uncharacterized protein C6orf15
C8orf82	chromosome 8 open reading frame 82	UPF0598 protein C8orf82
C8orf88	chromosome 8 open reading frame 88	Uncharacterized protein C8orf88
C9orf50	chromosome 9 open reading frame 50	Uncharacterized protein C9orf50
C9orf57	chromosome 9 open reading frame 57	Uncharacterized protein C9orf57
CA10	carbonic anhydrase 10 (inactive)	Carbonic anhydrase-related protein 10
CA11	carbonic anhydrase 11 (inactive)	Carbonic anhydrase-related protein 11
CA12	carbonic anhydrase 12	Carbonic anhydrase 12
CA8	carbonic anhydrase 8 (inactive)	Carbonic anhydrase-related protein
CAAP1	caspase activity and apoptosis inhibitor 1	Caspase activity and apoptosis inhibitor 1
CABP1	calcium binding protein 1	Calcium-binding protein 1
CACFD1	calcium channel flower domain containing 1	Calcium channel flower homolog
CACHD1	cache domain containing 1	VWFA and cache domain-containing protein 1
CACNA1A	calcium voltage-gated channel subunit alpha1 A	Voltage-dependent P/Q-type calcium channel subunit alpha-1A
CACNA1C	calcium voltage-gated channel subunit alpha1 C	Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1F	calcium voltage-gated channel subunit alpha1 F	Voltage-dependent L-type calcium channel subunit alpha-1F
CACNA1H	calcium voltage-gated channel subunit alpha1 H	Voltage-dependent T-type calcium channel subunit alpha-1H
CACNA1I	calcium voltage-gated channel subunit alpha1 I	Voltage-dependent T-type calcium channel subunit alpha-1I
CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	Voltage-dependent calcium channel subunit alpha-2/delta-1
CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Voltage-dependent calcium channel subunit alpha-2/delta-3
CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	Voltage-dependent L-type calcium channel subunit beta-2
CACNB3	calcium voltage-gated channel auxiliary subunit beta 3	Voltage-dependent L-type calcium channel subunit beta-3
CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	Voltage-dependent calcium channel gamma-4 subunit
CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5	Voltage-dependent calcium channel gamma-5 subunit
CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6	Voltage-dependent calcium channel gamma-6 subunit
CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7	Voltage-dependent calcium channel gamma-7 subunit
CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8	Voltage-dependent calcium channel gamma-8 subunit
CADM1	cell adhesion molecule 1	Cell adhesion molecule 1
CADM3	cell adhesion molecule 3	Cell adhesion molecule 3
CAGE1	cancer antigen 1	Cancer-associated gene 1 protein
CALB1	calbindin 1	Calbindin
CALCOCO1	calcium binding and coiled-coil domain 1	Calcium-binding and coiled-coil domain-containing protein 1
CALHM6	calcium homeostasis modulator family member 6	Calcium homeostasis modulator protein 6
CALML5	calmodulin like 5	Calmodulin-like protein 5
CALML6	calmodulin like 6	Calmodulin-like protein 6
CALN1	calneuron 1	Calcium-binding protein 8
CALR	calreticulin	Calreticulin
CALU	calumenin	Calumenin
CALY	calcyon neuron specific vesicular protein	Neuron-specific vesicular protein calcyon
CAMK1	calcium/calmodulin dependent protein kinase I	Calcium/calmodulin-dependent protein kinase type 1
CAMK1D	calcium/calmodulin dependent protein kinase ID	Calcium/calmodulin-dependent protein kinase type 1D
CAMK1G	calcium/calmodulin dependent protein kinase IG	Calcium/calmodulin-dependent protein kinase type 1G
CAMK2D	calcium/calmodulin dependent protein kinase II delta	Calcium/calmodulin-dependent protein kinase type II subunit delta
CAMKK2	calcium/calmodulin dependent protein kinase kinase 2	Calcium/calmodulin-dependent protein kinase kinase 2
CAMKV	CaM kinase like vesicle associated	CaM kinase-like vesicle-associated protein
CAMLG	calcium modulating ligand	Guided entry of tail-anchored proteins factor CAMLG
CAMTA1	calmodulin binding transcription activator 1	Calmodulin-binding transcription activator 1
CAND1	cullin associated and neddylation dissociated 1	Cullin-associated NEDD8-dissociated protein 1
CAP2	cyclase associated actin cytoskeleton regulatory protein 2	Adenylyl cyclase-associated protein 2
CAPG	capping actin protein, gelsolin like	Macrophage-capping protein
CAPN11	calpain 11	Calpain-11
CAPN13	calpain 13	Calpain-13
CAPN3	calpain 3	Calpain-3
CAPN5	calpain 5	Calpain-5
CAPN9	calpain 9	Calpain-9
CAPNS1	calpain small subunit 1	Calpain small subunit 1
CAPRIN1	cell cycle associated protein 1	Caprin-1
CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	F-actin-capping protein subunit alpha-1
CARD11	caspase recruitment domain family member 11	Caspase recruitment domain-containing protein 11
CARHSP1	calcium regulated heat stable protein 1	Calcium-regulated heat-stable protein 1
CARMIL1	capping protein regulator and myosin 1 linker 1	F-actin-uncapping protein LRRC16A
CARMIL3	capping protein regulator and myosin 1 linker 3	Capping protein, Arp2/3 and myosin-I linker protein 3
CASKIN2	CASK interacting protein 2	Caskin-2
CASP2	caspase 2	Caspase-2
CASP4	caspase 4	Caspase-4
CASP5	caspase 5	Caspase-5
CASP7	caspase 7	Caspase-7
CASQ1	calsequestrin 1	Calsequestrin-1
CASQ2	calsequestrin 2	Calsequestrin-2
CASR	calcium sensing receptor	Extracellular calcium-sensing receptor
CASTOR1	cytosolic arginine sensor for mTORC1 subunit 1	Cytosolic arginine sensor for mTORC1 subunit 1
CASZ1	castor zinc finger 1	Zinc finger protein castor homolog 1
CAT	catalase	Catalase
CATSPERH	catsper channel auxiliary subunit eta	Cation channel sperm-associated auxiliary subunit eta
CAVIN1	caveolae associated protein 1	Caveolae-associated protein 1
CAVIN3	caveolae associated protein 3	Caveolae-associated protein 3
CBL	Cbl proto-oncogene	E3 ubiquitin-protein ligase CBL
CBLL2	Cbl proto-oncogene like 2	E3 ubiquitin-protein ligase CBLL2
CBLN2	cerebellin 2 precursor	Cerebellin-2
CBR3	carbonyl reductase 3	Carbonyl reductase [NADPH] 3
CBX6	chromobox 6	Chromobox protein homolog 6
CC2D1A	coiled-coil and C2 domain containing 1A	Coiled-coil and C2 domain-containing protein 1A
CC2D2B	coiled-coil and C2 domain containing 2B	Protein CC2D2B
CCBE1	collagen and calcium binding EGF domains 1	Collagen and calcium-binding EGF domain-containing protein 1
CCDC120	coiled-coil domain containing 120	Coiled-coil domain-containing protein 120
CCDC127	coiled-coil domain containing 127	Coiled-coil domain-containing protein 127
CCDC134	coiled-coil domain containing 134	Coiled-coil domain-containing protein 134
CCDC136	coiled-coil domain containing 136	Coiled-coil domain-containing protein 136
CCDC14	coiled-coil domain containing 14	Coiled-coil domain-containing protein 14
CCDC141	coiled-coil domain containing 141	Coiled-coil domain-containing protein 141
CCDC144A	coiled-coil domain containing 144A	Coiled-coil domain-containing protein 144A
CCDC152	coiled-coil domain containing 152	Coiled-coil domain-containing protein 152
CCDC157	coiled-coil domain containing 157	Coiled-coil domain-containing protein 157
CCDC169	coiled-coil domain containing 169	Coiled-coil domain-containing protein 169
CCDC17	coiled-coil domain containing 17	Coiled-coil domain-containing protein 17
CCDC177	coiled-coil domain containing 177	Coiled-coil domain-containing protein 177
