# cystinuria 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0009067) の関連遺伝子 397 件と、
# 承認薬の標的 8 件を必ず含む（重複を除いて 397 件）。
# 残り 4603 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
ATP4B	ATPase H+/K+ transporting subunit beta	Potassium-transporting ATPase subunit beta
ATP5MC2	ATP synthase membrane subunit c locus 2	ATP synthase F(0) complex subunit C2, mitochondrial
ATP5MC3	ATP synthase membrane subunit c locus 3	ATP synthase F(0) complex subunit C3, mitochondrial
ATP5MG	ATP synthase membrane subunit g	ATP synthase F(0) complex subunit g, mitochondrial
ATP5MJ	ATP synthase membrane subunit j	ATP synthase F(0) complex subunit j, mitochondrial
ATP5MK	ATP synthase membrane subunit k	ATP synthase F(0) complex subunit k, mitochondrial
ATP5PD	ATP synthase peripheral stalk subunit d	ATP synthase peripheral stalk subunit d, mitochondrial
ATP6AP2	ATPase H+ transporting accessory protein 2	Renin receptor
ATP6V0A1	ATPase H+ transporting V0 subunit a1	V-type proton ATPase 116 kDa subunit a 1
ATP6V0E1	ATPase H+ transporting V0 subunit e1	V-type proton ATPase subunit e 1
ATP6V1B1	ATPase H+ transporting V1 subunit B1	V-type proton ATPase subunit B, kidney isoform
ATP6V1E2	ATPase H+ transporting V1 subunit E2	V-type proton ATPase subunit E 2
ATP7A	ATPase copper transporting alpha	Copper-transporting ATPase 1
ATP8B4	ATPase phospholipid transporting 8B4 (putative)	Probable phospholipid-transporting ATPase IM
ATP9A	ATPase phospholipid transporting 9A	Probable phospholipid-transporting ATPase IIA
ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	ATP synthase mitochondrial F1 complex assembly factor 2
ATRN	attractin	Attractin
ATRNL1	attractin like 1	Attractin-like protein 1
ATXN2L	ataxin 2 like	Ataxin-2-like protein
ATXN3L	ataxin 3 like	Ataxin-3-like protein
ATXN7L3B	ataxin 7 like 3B	Ataxin-7-like protein 3B
AUH	AU RNA binding methylglutaconyl-CoA hydratase	Methylglutaconyl-CoA hydratase, mitochondrial
AUNIP	aurora kinase A and ninein interacting protein	Aurora kinase A- and ninein-interacting protein
AVPI1	arginine vasopressin induced 1	Arginine vasopressin-induced protein 1
AVPR2	arginine vasopressin receptor 2	Vasopressin V2 receptor
AXIN2	axin 2	Axin-2
AZI2	5-azacytidine induced 2	5-azacytidine-induced protein 2
B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (Globoside blood group)	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1
B3GALT6	beta-1,3-galactosyltransferase 6	Beta-1,3-galactosyltransferase 6
B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase
B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 8
B4GALT1	beta-1,4-galactosyltransferase 1	Beta-1,4-galactosyltransferase 1
B4GALT3	beta-1,4-galactosyltransferase 3	Beta-1,4-galactosyltransferase 3
B9D1	B9 domain containing 1	B9 domain-containing protein 1
BAAT	bile acid-CoA:amino acid N-acyltransferase	Bile acid-CoA:amino acid N-acyltransferase
BACE1	beta-secretase 1	Beta-secretase 1
BACH1	BACH transcriptional regulator 1	Transcription regulator protein BACH1
BAD	BCL2 associated agonist of cell death	Bcl2-associated agonist of cell death
BAGE5	BAGE family member 5	B melanoma antigen 5
BAIAP2L2	BAR/IMD domain containing adaptor protein 2 like 2	BAR/IMD domain-containing adapter protein 2-like 2
BANF1	barrier to autointegration nuclear assembly factor 1	Barrier-to-autointegration factor
BANK1	B cell scaffold protein with ankyrin repeats 1	B-cell scaffold protein with ankyrin repeats
BASP1	brain abundant membrane attached signal protein 1	Brain acid soluble protein 1
BATF	basic leucine zipper ATF-like transcription factor	Basic leucine zipper transcriptional factor ATF-like
BBS5	Bardet-Biedl syndrome 5	BBSome complex member BBS5
BBX	BBX high mobility group box domain containing	HMG box transcription factor BBX
BCAP29	B cell receptor associated protein 29	B-cell receptor-associated protein 29
BCAS1	brain enriched myelin associated protein 1	Breast carcinoma-amplified sequence 1
BCAT2	branched chain amino acid transaminase 2	Branched-chain-amino-acid aminotransferase, mitochondrial
BCDIN3D	BCDIN3 domain containing RNA methyltransferase	RNA 5'-monophosphate methyltransferase
BCL11B	BCL11 transcription factor B	B-cell lymphoma/leukemia 11B
BCL2	BCL2 apoptosis regulator	Apoptosis regulator Bcl-2
BCL2L13	BCL2 like 13	Bcl-2-like protein 13
BCL9	BCL9 transcription coactivator	B-cell CLL/lymphoma 9 protein
BCO2	beta-carotene oxygenase 2	Carotenoid-cleaving dioxygenase, mitochondrial
BCOR	BCL6 corepressor	BCL-6 corepressor
BDKRB2	bradykinin receptor B2	B2 bradykinin receptor
BDNF	brain derived neurotrophic factor	Neurotrophic factor BDNF precursor form
BDP1	BDP1 general transcription factor IIIB subunit	Transcription factor TFIIIB component B'' homolog
BECN1	beclin 1	Beclin-1
BEGAIN	brain enriched guanylate kinase associated	Brain-enriched guanylate kinase-associated protein
BEND2	BEN domain containing 2	BEN domain-containing protein 2
BEND7	BEN domain containing 7	BEN domain-containing protein 7
BEST1	bestrophin 1	Bestrophin-1
BEST2	bestrophin 2	Bestrophin-2a
BEST3	bestrophin 3	Bestrophin-3
BEST4	bestrophin 4	Bestrophin-4
BET1	Bet1 golgi vesicular membrane trafficking protein	BET1 homolog
BICC1	BicC family RNA binding protein 1	Protein bicaudal C homolog 1
BICDL2	BICD family like cargo adaptor 2	BICD family-like cargo adapter 2
BICRA	BRD4 interacting chromatin remodeling complex associated protein	BRD4-interacting chromatin-remodeling complex-associated protein
BIN2	bridging integrator 2	Bridging integrator 2
BIN3	bridging integrator 3	Bridging integrator 3
BIRC3	baculoviral IAP repeat containing 3	Baculoviral IAP repeat-containing protein 3
BIRC5	baculoviral IAP repeat containing 5	Baculoviral IAP repeat-containing protein 5
BIRC6	baculoviral IAP repeat containing 6	Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6
BIVM	basic, immunoglobulin-like variable motif containing	Basic immunoglobulin-like variable motif-containing protein
BKGD	beta-keto-L-gulonate decarboxylase	Beta-keto L-gulonate decarboxylase
BLNK	B cell linker	B-cell linker protein
BMP8A	bone morphogenetic protein 8a	Bone morphogenetic protein 8A
BNIPL	BCL2 interacting protein like	Bcl-2/adenovirus E1B 19 kDa-interacting protein 2-like protein
BOD1	biorientation of chromosomes in cell division 1	Biorientation of chromosomes in cell division protein 1
BOD1L2	biorientation of chromosomes in cell division 1 like 2	Biorientation of chromosomes in cell division protein 1-like 2
BOLA1	bolA family member 1	BolA-like protein 1
BOLL	boule RNA binding protein	Protein boule-like
BOP1	BOP1 ribosomal biogenesis factor	Ribosome biogenesis protein BOP1
BORCS6	BLOC-1 related complex subunit 6	BLOC-1-related complex subunit 6
BPIFA1	BPI fold containing family A member 1	BPI fold-containing family A member 1
BPIFA2	BPI fold containing family A member 2	BPI fold-containing family A member 2
BPIFA3	BPI fold containing family A member 3	BPI fold-containing family A member 3
BPIFB1	BPI fold containing family B member 1	BPI fold-containing family B member 1
BPIFB2	BPI fold containing family B member 2	BPI fold-containing family B member 2
BRAF	B-Raf proto-oncogene, serine/threonine kinase	Serine/threonine-protein kinase B-raf
BRAT1	BRCA1 associated ATM activator 1	Integrator complex assembly factor BRAT1
BRCC3	BRCA1/BRCA2-containing complex subunit 3	Lys-63-specific deubiquitinase BRCC36
BRD10	bromodomain containing 10	Uncharacterized bromodomain-containing protein 10
BRD8	bromodomain containing 8	Bromodomain-containing protein 8
BRF2	BRF2 general transcription factor IIIB subunit	Transcription factor IIIB 50 kDa subunit
BRI3	brain protein I3	Membrane protein BRI3
BRI3BP	BRI3 binding protein	BRI3-binding protein
BRINP2	BMP/retinoic acid inducible neural specific 2	BMP/retinoic acid-inducible neural-specific protein 2
BRINP3	BMP/retinoic acid inducible neural specific 3	BMP/retinoic acid-inducible neural-specific protein 3
BRIP1	BRCA1 interacting DNA helicase 1	Fanconi anemia group J protein
BRPF3	bromodomain and PHD finger containing 3	Bromodomain and PHD finger-containing protein 3
BRSK2	BR serine/threonine kinase 2	Serine/threonine-protein kinase BRSK2
BSND	barttin CLCNK type accessory subunit beta	Barttin
BSPRY	B-box and SPRY domain containing	B box and SPRY domain-containing protein
BTBD10	BTB domain containing 10	BTB/POZ domain-containing protein 10
BTBD16	BTB domain containing 16	BTB/POZ domain-containing protein 16
BTBD18	BTB domain containing 18	BTB/POZ domain-containing protein 18
BTBD6	BTB domain containing 6	BTB/POZ domain-containing protein 6
BTBD8	BTB domain containing 8	BTB/POZ domain-containing protein 8
BTC	betacellulin	Probetacellulin [Cleaved into: Betacellulin
BUB1	BUB1 mitotic checkpoint serine/threonine kinase	Mitotic checkpoint serine/threonine-protein kinase BUB1
BUD13	BUD13 spliceosome associated protein	BUD13 homolog
C10orf126	chromosome 10 open reading frame 126	Putative uncharacterized protein C10orf126
C10orf53	chromosome 10 open reading frame 53	UPF0728 protein C10orf53
C10orf62	chromosome 10 open reading frame 62	Uncharacterized protein C10orf62
C10orf71	chromosome 10 open reading frame 71	
C11orf71	chromosome 11 open reading frame 71	Uncharacterized protein C11orf71
C11orf87	chromosome 11 open reading frame 87	Uncharacterized protein C11orf87
C12orf57	chromosome 12 open reading frame 57	Protein C10
C15orf40	chromosome 15 open reading frame 40	UPF0235 protein C15orf40
C16orf86	chromosome 16 open reading frame 86	Uncharacterized protein C16orf86
C17orf58	chromosome 17 open reading frame 58	UPF0450 protein C17orf58
C17orf75	chromosome 17 open reading frame 75	Protein Njmu-R1
C17orf78	chromosome 17 open reading frame 78	Uncharacterized protein C17orf78
C18orf54	chromosome 18 open reading frame 54	
C19orf18	chromosome 19 open reading frame 18	Uncharacterized protein C19orf18
C19orf81	chromosome 19 open reading frame 81	Putative uncharacterized protein C19orf81
C19orf85	chromosome 19 open reading frame 85	Uncharacterized protein C19orf85
C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
C1GALT1C1L	C1GALT1 specific chaperone 1 like	C1GALT1-specific chaperone 1-like protein
C1QA	complement C1q A chain	Complement C1q subcomponent subunit A
C1QL3	complement C1q like 3	Complement C1q-like protein 3
C1RL	complement C1r subcomponent like	Complement C1r subcomponent-like protein
C1orf115	chromosome 1 open reading frame 115	Required for drug-induced death protein 1
C1orf141	chromosome 1 open reading frame 141	Uncharacterized protein C1orf141
C1orf21	chromosome 1 open reading frame 21	Uncharacterized protein C1orf21
C1orf226	chromosome 1 open reading frame 226	Uncharacterized protein C1orf226
C1orf232	chromosome 1 open reading frame 230	Uncharacterized protein C1orf232
C1orf50	chromosome 1 open reading frame 50	Uncharacterized protein C1orf50
C20orf173	chromosome 20 open reading frame 173	Uncharacterized protein C20orf173
C20orf96	chromosome 20 open reading frame 96	Uncharacterized protein C20orf96
C21orf140	chromosome 21 open reading frame 140	Uncharacterized protein C21orf140
C21orf58	chromosome 21 open reading frame 58	Uncharacterized protein C21orf58
C22orf23	chromosome 22 open reading frame 23	UPF0193 protein EVG1
C2CD2L	C2CD2 like	Phospholipid transfer protein C2CD2L
C2orf78	chromosome 2 open reading frame 78	Uncharacterized protein C2orf78
C3	complement C3	Complement C3
C3orf80	chromosome 3 open reading frame 80	Uncharacterized membrane protein C3orf80
C4A_2	complement component 4A (Chido/Rodgers blood group), copy 2	
C4B	complement C4B (Chido/Rodgers blood group)	
C4BPB	complement component 4 binding protein beta	C4b-binding protein beta chain
C4orf33	chromosome 4 open reading frame 33	UPF0462 protein C4orf33
C4orf36	chromosome 4 open reading frame 36	Uncharacterized protein C4orf36
C5AR2	complement C5a receptor 2	C5a anaphylatoxin chemotactic receptor 2
C5orf47	chromosome 5 open reading frame 47	Uncharacterized protein C5orf47
C5orf63	chromosome 5 open reading frame 63	Glutaredoxin-like protein C5orf63
C6orf118	chromosome 6 open reading frame 118	Uncharacterized protein C6orf118
C6orf120	chromosome 6 open reading frame 120	UPF0669 protein C6orf120
C8orf48	chromosome 8 open reading frame 48	Uncharacterized protein C8orf48
C8orf58	chromosome 8 open reading frame 58	Uncharacterized protein C8orf58
C9orf153	chromosome 9 open reading frame 153	Uncharacterized protein C9orf153
C9orf72	C9orf72-SMCR8 complex subunit	Guanine nucleotide exchange factor C9orf72
C9orf78	chromosome 9 open reading frame 78	Splicing factor C9orf78
CA5A	carbonic anhydrase 5A	Carbonic anhydrase 5A, mitochondrial
CAB39	calcium binding protein 39	Calcium-binding protein 39
CABP2	calcium binding protein 2	Calcium-binding protein 2
CABP4	calcium binding protein 4	Calcium-binding protein 4
CABP5	calcium binding protein 5	Calcium-binding protein 5
CACFD1	calcium channel flower domain containing 1	Calcium channel flower homolog
CACNA1A	calcium voltage-gated channel subunit alpha1 A	Voltage-dependent P/Q-type calcium channel subunit alpha-1A
CACNA1D	calcium voltage-gated channel subunit alpha1 D	Voltage-dependent L-type calcium channel subunit alpha-1D
CACNA1G	calcium voltage-gated channel subunit alpha1 G	Voltage-dependent T-type calcium channel subunit alpha-1G
CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	Voltage-dependent calcium channel subunit alpha-2/delta-2
CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Voltage-dependent calcium channel subunit alpha-2/delta-3
CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4	Voltage-dependent calcium channel subunit alpha-2/delta-4
CACNB1	calcium voltage-gated channel auxiliary subunit beta 1	Voltage-dependent L-type calcium channel subunit beta-1
CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	Voltage-dependent L-type calcium channel subunit beta-2
CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3	Voltage-dependent calcium channel gamma-3 subunit
CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5	Voltage-dependent calcium channel gamma-5 subunit
CACTIN	cactin, spliceosome C complex subunit	Splicing factor Cactin
CACUL1	CDK2 associated cullin domain 1	CDK2-associated and cullin domain-containing protein 1
CADM2	cell adhesion molecule 2	Cell adhesion molecule 2
CALCOCO1	calcium binding and coiled-coil domain 1	Calcium-binding and coiled-coil domain-containing protein 1
CALD1	caldesmon 1	Caldesmon
CALHM3	calcium homeostasis modulator 3	Calcium homeostasis modulator protein 3
CALHM4	calcium homeostasis modulator family member 4	Calcium homeostasis modulator protein 4
CALHM5	calcium homeostasis modulator family member 5	Calcium homeostasis modulator protein 5
CALM1	calmodulin 1	Calmodulin-1
CALM2	calmodulin 2	Calmodulin-2
CALM3	calmodulin 3	Calmodulin-3
CALML3	calmodulin like 3	Calmodulin-like protein 3
CALML6	calmodulin like 6	Calmodulin-like protein 6
CAMK1D	calcium/calmodulin dependent protein kinase ID	Calcium/calmodulin-dependent protein kinase type 1D
CAMK1G	calcium/calmodulin dependent protein kinase IG	Calcium/calmodulin-dependent protein kinase type 1G
CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	Calcium/calmodulin-dependent protein kinase II inhibitor 1
CAMK4	calcium/calmodulin dependent protein kinase IV	Calcium/calmodulin-dependent protein kinase type IV
CAMKMT	calmodulin-lysine N-methyltransferase	Calmodulin-lysine N-methyltransferase
CAMP	cathelicidin antimicrobial peptide	Cathelicidin antimicrobial peptide
CAMSAP1	calmodulin regulated spectrin associated protein 1	Calmodulin-regulated spectrin-associated protein 1
CAMTA1	calmodulin binding transcription activator 1	Calmodulin-binding transcription activator 1
CAND1	cullin associated and neddylation dissociated 1	Cullin-associated NEDD8-dissociated protein 1
CAP1	cyclase associated actin cytoskeleton regulatory protein 1	Adenylyl cyclase-associated protein 1
CAP2	cyclase associated actin cytoskeleton regulatory protein 2	Adenylyl cyclase-associated protein 2
CAPN10	calpain 10	Calpain-10
CAPN11	calpain 11	Calpain-11
CAPN12	calpain 12	Calpain-12
CAPN14	calpain 14	Calpain-14
CAPN6	calpain 6	Calpain-6
CAPNS2	calpain small subunit 2	Calpain small subunit 2
CAPZB	capping actin protein of muscle Z-line subunit beta	F-actin-capping protein subunit beta
CARD14	caspase recruitment domain family member 14	Caspase recruitment domain-containing protein 14
CARD18	caspase recruitment domain family member 18	Caspase recruitment domain-containing protein 18
CARMIL1	capping protein regulator and myosin 1 linker 1	F-actin-uncapping protein LRRC16A
CARS1	cysteinyl-tRNA synthetase 1	Cysteine--tRNA ligase, cytoplasmic
CARTPT	CART prepropeptide	Cocaine- and amphetamine-regulated transcript protein [Cleaved into: CART(1-39); CART(42-8
CASC3	CASC3 exon junction complex subunit	Protein CASC3
CASK	calcium/calmodulin dependent serine protein kinase	Peripheral plasma membrane protein CASK
CASKIN2	CASK interacting protein 2	Caskin-2
CASP12	caspase 12 (gene/pseudogene)	Inactive caspase-12
CASP14	caspase 14	Caspase-14
CASP3	caspase 3	Caspase-3
CASP5	caspase 5	Caspase-5
CASP7	caspase 7	Caspase-7
CASP8	caspase 8	Caspase-8
CASR	calcium sensing receptor	Extracellular calcium-sensing receptor
CAT	catalase	Catalase
CATSPERD	catsper channel auxiliary subunit delta	Cation channel sperm-associated auxiliary subunit delta
CATSPERG	catsper channel auxiliary subunit gamma	Cation channel sperm-associated auxiliary subunit gamma
CAV1	caveolin 1	Caveolin-1
CAV3	caveolin 3	Caveolin-3
CAVIN2	caveolae associated protein 2	Caveolae-associated protein 2
CBARP	CACN subunit beta associated regulatory protein	Voltage-dependent calcium channel beta subunit-associated regulatory protein
CBLB	Cbl proto-oncogene B	E3 ubiquitin-protein ligase CBL-B
CBLN4	cerebellin 4 precursor	Cerebellin-4
CBX2	chromobox 2	Chromobox protein homolog 2
CBX5	chromobox 5	Chromobox protein homolog 5
CBX8	chromobox 8	Chromobox protein homolog 8
CCBE1	collagen and calcium binding EGF domains 1	Collagen and calcium-binding EGF domain-containing protein 1
CCDC112	coiled-coil domain containing 112	Coiled-coil domain-containing protein 112
